Platform,Profiler,Benchmark Suite,Suite,Workload,benchmark_name,execution_time (microseconds),exp_name,peak_memory_kb (KB),read_freq (accesses/us),read_size,total_reads (count),total_reads_d,total_reads_i,total_writes (count),total_writes_d,total_writes_i,workingset_size (count),write_freq (accesses/us),write_size
CPU,DynamoRIO,spec2017,fpspeed,alberta_both/wrf/both,,1800711093.0,DynamoRIOProfilers,695532.0,1.708979547003879,4,3077378428.0,1,1,864940053.0,1,1,2867149.0,0.4803324955137598,4
CPU,DynamoRIO,spec2017,fpspeed,baseline/cactuBSSN/O1,,1587651047.0,DynamoRIOProfilers,2573580.0,2.2465614819702884,8,3566755689.0,1,1,916255802.0,1,1,13417638.0,0.5771140980452488,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/cactuBSSN/O2,,1580686803.0,DynamoRIOProfilers,2674944.0,2.103428507589052,8,3324861683.0,1,1,956010650.0,1,1,14008250.0,0.6048071307899696,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/cactuBSSN/Ofast,,1908851841.0,DynamoRIOProfilers,5891728.0,1.9673903858523716,8,3755456760.0,1,1,1022999353.0,1,1,31114266.0,0.5359239156372011,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/cam4/O1,,1028205355.0,DynamoRIOProfilers,2133916.0,2.21498493849023,4,2277459375.0,1,1,410284584.0,1,1,10556806.0,0.3990298066479142,1
CPU,DynamoRIO,spec2017,fpspeed,baseline/cam4/O2,,999607010.0,DynamoRIOProfilers,2049752.0,2.1231327209279973,4,2122298351.0,1,1,448205790.0,1,1,10482892.0,0.44838199964203934,1
CPU,DynamoRIO,spec2017,fpspeed,baseline/cam4/Ofast,,922736347.0,DynamoRIOProfilers,2072836.0,2.161754405237491,4,1994729363.0,1,1,435475944.0,1,1,10623117.0,0.4719397316642172,1
CPU,DynamoRIO,spec2017,fpspeed,baseline/fotonik3d/O1,,1221649448.0,DynamoRIOProfilers,703732.0,1.9533302101569812,8,2386284773.0,1,1,1577255502.0,1,1,420662.0,1.291086820840605,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/fotonik3d/O2,,1216422227.0,DynamoRIOProfilers,694492.0,1.9617801878590633,8,2386353025.0,1,1,1575167121.0,1,1,420684.0,1.2949180687735,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/fotonik3d/Ofast,,1278983574.0,DynamoRIOProfilers,699324.0,1.867463945240629,8,2388455711.0,1,1,1575156712.0,1,1,420615.0,1.2315691491437404,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/lbm/O1,,2391529291.0,DynamoRIOProfilers,10038244.0,1.0740228997680297,8,2568557224.0,1,1,1753809186.0,1,1,52802448.0,0.7333421307445739,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/lbm/O2,,2584896501.0,DynamoRIOProfilers,10035172.0,1.1064029673503744,8,2859937159.0,1,1,2083525344.0,1,1,52802445.0,0.8060382081812412,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/lbm/Ofast,,2585863533.0,DynamoRIOProfilers,10263412.0,1.1728495565585595,8,3032828898.0,1,1,1916449028.0,1,1,52802449.0,0.7411253546611657,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/nab/O1,,1275027324.0,DynamoRIOProfilers,295684.0,2.0035613691679597,8,2554595491.0,1,1,1254026697.0,1,1,1536095.0,0.9835292729773688,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/nab/O2,,1261680110.0,DynamoRIOProfilers,315904.0,1.9684109516476407,8,2483504946.0,1,1,1193077226.0,1,1,1634412.0,0.9456257703864412,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/nab/Ofast,,1273430360.0,DynamoRIOProfilers,336260.0,1.9888291221516032,8,2532635385.0,1,1,1199750468.0,1,1,1692207.0,0.9421406192954281,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/roms/O1,,1957331506.0,DynamoRIOProfilers,12561908.0,2.3390562482469948,8,4578308489.0,1,1,525927754.0,1,1,65117075.0,0.2686963104552408,8
CPU,DynamoRIO,spec2017,fpspeed,baseline/wrf/O1,,1675969294.0,DynamoRIOProfilers,685672.0,1.9078524764428053,4,3197502168.0,1,1,916661014.0,1,1,2790227.0,0.5469437997949382,4
CPU,DynamoRIO,spec2017,fpspeed,baseline/wrf/O2,,1631453091.0,DynamoRIOProfilers,693328.0,1.8862806696536518,4,3077378429.0,1,1,864940056.0,1,1,2857034.0,0.5301654462340897,4
CPU,DynamoRIO,spec2017,intrate,baseline/deepsjeng_r/O1,,670078977.0,DynamoRIOProfilers,,0.49127367265545474,8,329192160.0,1,1,1610238855.0,1,1,11459500.0,2.4030583114384143,1
CPU,DynamoRIO,spec2017,intrate,baseline/exchange2_r/O1,,1676676878.0,DynamoRIOProfilers,,2.380378297314362,4,3991125252.0,1,1,2307939595.0,1,1,74140.0,1.3764963454097325,4
CPU,DynamoRIO,spec2017,intrate,baseline/leela_r/O1,,1084296434.0,DynamoRIOProfilers,,2.3364969934042965,4,2533455358.0,1,1,1128808120.0,1,1,148743.0,1.041051214966921,8
CPU,DynamoRIO,spec2017,intrate,baseline/mcf_r/O1,,1540511679.0,DynamoRIOProfilers,,2.400297770803203,8,3697686749.0,1,1,998031684.0,1,1,274486.0,0.647857265611811,8
CPU,DynamoRIO,spec2017,intrate,baseline/perlbench_r/O1,,1542991225.0,DynamoRIOProfilers,,1.953316335288945,8,3013949965.0,1,1,1592327452.0,1,1,1258733.0,1.0319744054280025,8
CPU,DynamoRIO,spec2017,intrate,baseline/perlbench_r/O1,,1538795039.0,DynamoRIOProfilers,,1.9423817027265577,8,2988927328.0,1,1,1753631780.0,1,1,2611448.0,1.1396136168593405,8
