source,workload_id,workload,compiler_tag,iteration,opt_level_numeric,has_fastmath,has_vectorize,has_unroll,has_debug_friendly,has_lto,input_class,input_command,input_args,input_files,input_total_bytes,l1_size,l2_size,l3_size,l3_associativity,l3_replacement,branch_predictor,prefetcher_type,dram_type,core_frequency_ghz,simulator_rev,core_model,n_pb_files,pb_total_bytes,n_events,total_reads,total_writes,total_hits,total_misses,n_threads,cell_start_us,cell_end_us,execution_time_us,execution_time_s,read_freq,write_freq,hit_rate,wss_lines_total,wss_bytes_total,coarse_bin_us,n_coarse_bins,n_unique_regions_total,elapsed_parse_s
cpu2026,766.femflow_r,femflow,maapFAST,1,3,1,1,1,0,0,refrate,,,refrate.prm,473,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,75827610339,2512088251,1353458710,1158629541,0,2512088251,0,13423398019087747,13423400990319755,2971232008,2971.232008,455521.0452619761,389949.19881059654,0.0,619480,39646720,2971232,1001,104,453.0
cpu2026,767.nest_r,nest,maapFAST,1,3,1,1,1,0,0,refrate,,,ArtificialSynchrony.sli|FormattedIO|FormattedIO.sli|arraylib|arraylib.sli|control|cuba_stdp.sli|debug|debug.sli|helpinit,1051499,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,63657185731,2142774134,1316172301,826601833,0,2142774134,0,13423401357275957,13423403999110669,2641834712,2641.834712,498203.87892609386,312889.3072853227,0.0,6348131,406280384,2641834,1001,420,381.0
cpu2026,772.marian_r,marian,maapFAST,1,3,1,1,1,0,0,refrate,,,EuroPat-spec.en|TildeMODEL-spec.en|control|model.alphas.npz|vocab.spm,89277765,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,46909443755,1519162809,815339364,703823445,0,1519162809,0,13423404367534272,13423406299407860,1931873588,1931.873588,422045.91908319003,364321.6871807039,0.0,10734270,686993280,1931873,1001,697,275.0
cpu2026,782.lbm_r,lbm,maapFAST,1,3,1,1,1,0,0,refrate,,,200_200_130_ldc.of|lbm.in,5226171,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,76252001378,2504380892,1626129408,878251484,0,2504380892,0,13423406769728272,13423409866252389,3096524117,3096.524117,525146.6956360864,283624.94552468555,0.0,26574118,1700743552,3096524,1001,1649,453.0
cpu2026,999.specrand_r,specrand,maapFAST,1,3,1,1,1,0,0,refrate,,,control,18,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,4985739642,163671268,97559880,66111388,0,163671268,0,13423410235296478,13423410424597196,189300718,189.300718,515369.8360510181,349240.0277108299,0.0,24058,1539712,189300,1001,17,29.0
cpu2026,709.cactus_r,cactus,maapLTO,1,3,0,1,1,0,1,refrate,,,ShiftedGaugeWave.par|control,4046,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,53495761488,1772491061,1409961941,362529120,0,1772491061,0,13423376464335186,13423378571264378,2106929192,2106.929192,669202.3378638536,172065.1654438703,0.0,3165071,202564544,2106929,1001,412,319.0
cpu2026,722.palm_r,palm,maapLTO,1,3,0,1,1,0,1,refrate,,,DEBUG|ENVPAR|PARIN|runfile_atmos,3227,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,48141435961,1606850134,1486697368,120152766,0,1606850134,0,13423378936360144,13423380953512329,2017152185,2017.152185,737027.8648559182,59565.543390073966,0.0,1809691,115820224,2017152,1001,136,286.0
cpu2026,731.astcenc_r,astcenc,maapLTO,1,3,0,1,1,0,1,refrate,,,control|gen_astcenc_inputs.sh|ref-inputs-hdr.txt|ref-inputs-linear.txt|ref-inputs-precision.txt,3360,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,48467535018,1597913003,1127142173,470770830,0,1597913003,0,13423381319054381,13423383224974499,1905920118,1905.920118,591390.039044648,247004.49171710774,0.0,542953,34748992,1905920,1001,73,289.0
cpu2026,736.ocio_r,ocio,maapLTO,1,3,0,1,1,0,1,refrate,,,control,721,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,50150782908,1726353933,988386538,737967395,0,1726353933,0,13423383590182684,13423385665964466,2075781782,2075.781782,476151.465713172,355512.99341733987,0.0,2213535,141666240,2075781,1001,153,300.0
cpu2026,737.gmsh_r,gmsh,maapLTO,1,3,0,1,1,0,1,refrate,,,README.txt|TieAnchor520.geo|Torus.geo|Torus_dense.geo|choi.geo|control|gasdis.geo|geom8du.geo|gmsh.opts|mediterranean.geo,1699539,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,66183233736,2205776274,1487284625,718491649,0,2205776274,0,13423386032707764,13423388681028602,2648320838,2648.320838,561595.3337901426,271300.8328487124,0.0,135438,8668032,2648320,1001,43,397.0
