PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_test_sniper,core_0,sniper,RRAM (Memristor),,cache,2MB,64,WriteEDP,1627,666,0.0072906675814032,0.0148226973247692,0.0221133649061724,0.0001802121153215,4.58789874376751e-05,0.0002260911027592,5813.294042630992,1479.9673366991967,7312.646995523508,15400.19894463827,46985.17329326649,4.4810495275987705,2.3538893877805243,22.25630228944328,0.1107634390421393,0.1107634390421393,0.0688873685250376,19.385616193319937,0.8347968125638362
memsyspatternconfig_test_sniper,core_0,sniper,RRAM (Memristor),,cache,4MB,64,WriteEDP,1627,666,0.0058237206691784,0.0144615427805449,0.0202852634497234,0.0002071663140287,5.598328378322006e-05,0.0002631495978119,6682.784323508814,1805.912380103873,8535.903371393068,10704.851321294407,45761.62805693238,3.579422660834944,2.46659756528098,21.71402819901649,0.1273302483274574,0.1273302483274574,0.0840589846594895,47.206667780380286,1.7024459791990405
memsyspatternconfig_test_sniper,core_0,sniper,SRAM,,cache,128KB,64,WriteEDP,1627,666,0.0052485340501931,0.0017186420809695,0.0069671761311626,2.78397222767743e-05,2.0573521283874388e-06,2.989707440516174e-05,898.0555573153,66.36619768991739,964.87283305239,17725.18646042713,4504.311339083559,3.22589677332093,2.43281130799348,2.58054366511937,0.017111076998632,0.017111076998632,0.003089117309891,0.4510780471726535,0.266131356555719
memsyspatternconfig_test_sniper,core_0,sniper,SRAM,,cache,256KB,64,WriteEDP,1627,666,0.0070705012492891,0.0024552741911412,0.0095257754404303,5.034972766204309e-05,2.435718169677437e-06,5.278544583172053e-05,1624.184763291713,78.57155386056249,1703.509948053554,36300.45674320525,6456.829227815887,4.345729102205966,3.0165112493083504,3.686597884596421,0.030946359964378,0.030946359964378,0.0036572344890051,0.7536309012786793,0.5181538901891822
memsyspatternconfig_test_sniper,core_0,sniper,SRAM,,cache,512KB,64,WriteEDP,1627,666,0.0113879642004369,0.0036291571217803,0.0150171213222173,9.374001377165142e-05,3.2576806183156866e-06,9.69976943899671e-05,3023.8714119887554,105.08647155857054,3130.293440308687,38926.432434071154,10152.942299779876,6.999363368430815,3.939261863567741,5.449184867538128,0.0576152512425638,0.0576152512425638,0.0048914123398133,1.335556761361407,1.011105557617177
memsyspatternconfig_test_sniper,core_0,sniper,SRAM,,cache,1MB,64,WriteEDP,1627,666,0.0148545786344754,0.0050324412308263,0.0198870198653018,0.0001466284271712,1.4054668917922394e-05,0.0001606830960891,4729.949263587438,453.376416707174,5190.068365643433,84347.7495447909,14418.07456626612,9.130042184680669,1.3165994401334,7.556218064303854,0.0901219589251447,0.0901219589251447,0.0211031064833669,6.7426853488218494,2.24794685918282
memsyspatternconfig_test_sniper,core_0,sniper,SRAM,,cache,2MB,64,WriteEDP,1627,666,0.0303757898080025,0.0092725915607767,0.0396483813687792,0.0002731613890956,2.0485450507124977e-05,0.0002936468396027,8811.657712763532,660.8209841008057,9485.353006537562,93145.349585293,27917.49221103868,18.66981549354795,1.459147562276499,13.922810151316416,0.1678926792229068,0.1678926792229068,0.0307589346953828,12.87430967322336,4.491817169017513
memsyspatternconfig_test_sniper,core_0,sniper,SRAM,,cache,4MB,64,WriteEDP,1627,666,0.0385418797935974,0.0125916715023346,0.0511335512959321,0.0005079111711291,2.8280894630942427e-05,0.00053619206576,16384.231326746536,912.286923578788,17321.73321800898,217342.11383714055,37989.45949778597,23.68892427387675,1.805735446170619,18.906413667169197,0.3121765034598295,0.3121765034598295,0.0424638057521658,25.214967683655477,8.957619479164999
memsyspatternconfig_test_sniper,core_0,sniper,Single-Level Cell FeFET,,cache,128KB,64,WriteEDP,1627,666,0.0284808349092531,0.9021283590076592,0.9306091939169124,1.1194934231223592e-05,2.846378025538652e-06,1.4041312256762244e-05,361.126910684632,91.8186459851178,455.51645690048167,3292.3049939157763,2880658.6728503504,17.50512286985442,16.83842156035938,1354.5470855970862,0.0068807217155645,0.0068807217155645,0.0042738408791871,2.5709002307318243,0.0395250941099293
memsyspatternconfig_test_sniper,core_0,sniper,Single-Level Cell FeFET,,cache,256KB,64,WriteEDP,1627,666,0.0313363846773973,0.902597315575628,0.9339337002530252,1.1979800896791562e-05,3.468383307741046e-06,1.5448184204532607e-05,386.4451902190826,111.88333250777568,502.58148495447097,4060.886202498872,2881030.240900735,19.26022414099405,18.59236933540994,1355.25122458803,0.0073631228621951,0.0073631228621951,0.0052077827443559,4.252962227612668,0.0709205335208351
