PatternConfig Name,Benchmark,Profiler,MemCellType,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Execution Time (us),Read Latency (ns),Write Latency (ns),Read Energy (nJ),Write Energy (nJ),Leakage Power (mW),Total Area (mm^2),Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%)
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteDynamicEnergy,4093692156,915737511,2628002060.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,8869.577173817346,1984.0779949389805,10853.655168756326,25.20666316005806,1.658134154031613,26.864797314089675,0.0095915690264177,0.000630948574687,0.2201910396684023,0.2675195717915572,0.0549210017773607
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteDynamicEnergy,4105529530,909711014,2568419942.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,8895.224559655691,1971.02071603467,10866.245275690362,25.279551078286183,1.6472219216671695,26.926772999953357,0.00984245242178,0.0006413366812533,0.2204523111703309,0.2745169898690466,0.0558252358815012
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteDynamicEnergy,4093700389,915723604,2630696656.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,8869.595011804691,1984.0478634085532,10853.642875213243,25.20671385426024,1.6581089725015314,26.864822826761767,0.00958176374945,0.0006302927282473,0.2201805785449949,0.2672460916666185,0.0548639135376486
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteDynamicEnergy,4232275462,874421761,2684602297.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,9169.837985018838,1894.561436498687,11064.399421517524,26.059981529107706,1.5833233536095348,27.64330488271724,0.0097072037665427,0.000589779482562,0.2202655053164023,0.2707447538318743,0.0513374327315143
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteEDP,4093692156,915737511,2628002060.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,8869.577173817346,1984.0779949389805,10853.655168756326,25.20666316005806,1.658134154031613,26.864797314089675,0.0095915690264177,0.000630948574687,0.2201910396684023,0.2675195717915572,0.0549210017773607
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteEDP,4105529530,909711014,2568419942.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,8895.224559655691,1971.02071603467,10866.245275690362,25.279551078286183,1.6472219216671695,26.926772999953357,0.00984245242178,0.0006413366812533,0.2204523111703309,0.2745169898690466,0.0558252358815012
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteEDP,4093700389,915723604,2630696656.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,8869.595011804691,1984.0478634085532,10853.642875213243,25.20671385426024,1.6581089725015314,26.864822826761767,0.00958176374945,0.0006302927282473,0.2201805785449949,0.2672460916666185,0.0548639135376486
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteEDP,4232275462,874421761,2684602297.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,9169.837985018838,1894.561436498687,11064.399421517524,26.059981529107706,1.5833233536095348,27.64330488271724,0.0097072037665427,0.000589779482562,0.2202655053164023,0.2707447538318743,0.0513374327315143
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteLatency,4093692156,915737511,2628002060.0,0.5319844447199253,0.4002848094531753,54.986507194290816,54.34092242634163,34.32179095756718,1.2830822055034372,2177.780548463974,366.55581509976,2544.336363563734,225.0978331871059,49.76202104814216,274.85985423524806,0.0856535984553626,0.0189353051907966,34.42637986121334,0.0072102545778248,0.0091563051965328
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteLatency,4105529530,909711014,2568419942.0,0.5319844447199253,0.4002848094531753,54.986507194290816,54.34092242634163,34.32179095756718,1.2830822055034372,2184.077847298306,364.1434998964449,2548.221347194751,225.7487290377184,49.43453564216258,275.1832646798809,0.0878940103781978,0.019247061134274,34.428932029079654,0.0073988507444091,0.0093070570611872
